Stations_ID; Mess_Datum; Qualitaets_Niveau; Struktur_Version; LUFTTEMPERATUR;REL_FEUCHTE;eor
  4642;2013111908;   7;  38;   5.5;  79.0;eor
  4642;2013111909;   7;  38;   5.6;  81.0;eor
  4642;2013111910;   7;  38;   6.0;  81.0;eor
  4642;2013111911;   7;  38;   6.5;  79.0;eor
  4642;2013111912;   7;  38;   6.9;  77.0;eor
  4642;2013111913;   7;  38;   6.8;  81.0;eor
  4642;2013111914;   7;  38;   6.4;  88.0;eor
  4642;2013111915;   7;  38;   5.8;  95.0;eor
  4642;2013111916;   7;  38;   5.5;  96.0;eor
  4642;2013111917;   7;  38;   5.4;  98.0;eor
  4642;2013111918;   7;  38;   5.2;  97.0;eor
  4642;2013111919;   7;  38;   5.2;  97.0;eor
  4642;2013111920;   7;  38;   5.1;  98.0;eor
  4642;2013111921;   7;  38;   5.1;  99.0;eor
  4642;2013111922;   7;  38;   5.1;  95.0;eor
  4642;2013111923;   7;  38;   5.3;  96.0;eor
  4642;2013112000;   7;  38;   5.4;  96.0;eor
  4642;2013112001;   7;  38;   5.4;  98.0;eor
  4642;2013112002;   7;  38;   5.4;  99.0;eor
  4642;2013112003;   7;  38;   5.5; 100.0;eor
  4642;2013112004;   7;  38;   5.7;  99.0;eor
  4642;2013112005;   7;  38;   5.7; 100.0;eor
  4642;2013112006;   7;  38;   5.4;  97.0;eor
  4642;2013112007;   7;  38;   5.2;  98.0;eor
  4642;2013112008;   7;  38;   4.9;  97.0;eor
  4642;2013112009;   7;  38;   4.7;  96.0;eor
  4642;2013112010;   7;  38;   4.6;  95.0;eor
  4642;2013112011;   7;  38;   4.7;  95.0;eor
  4642;2013112012;   7;  38;   4.8;  95.0;eor
  4642;2013112013;   7;  38;   4.6;  91.0;eor
  4642;2013112014;   7;  38;   4.7;  95.0;eor
  4642;2013112015;   7;  38;   4.5; 100.0;eor
  4642;2013112016;   7;  38;   3.9;  94.0;eor
  4642;2013112017;   7;  38;   3.7; 100.0;eor
  4642;2013112018;   7;  38;   3.7;  99.0;eor
  4642;2013112019;   7;  38;   3.1;  99.0;eor
  4642;2013112020;   7;  38;   3.4;  99.0;eor
  4642;2013112021;   7;  38;   2.7;  99.0;eor
  4642;2013112022;   7;  38;   1.3;  99.0;eor
  4642;2013112023;   7;  38;   0.0; 100.0;eor
  4642;2013112100;   7;  38;  -0.4; 100.0;eor
  4642;2013112101;   7;  38;  -1.0; 100.0;eor
  4642;2013112102;   7;  38;  -1.4; 100.0;eor
  4642;2013112103;   7;  38;  -1.8; 100.0;eor
  4642;2013112104;   7;  38;  -2.3; 100.0;eor
  4642;2013112105;   7;  38;  -2.4; 100.0;eor
  4642;2013112106;   7;  38;  -2.7; 100.0;eor
  4642;2013112107;   7;  38;  -2.6; 100.0;eor
  4642;2013112108;   7;  38;  -2.6; 100.0;eor
  4642;2013112109;   7;  38;  -2.6; 100.0;eor
  4642;2013112110;   7;  38;  -2.0; 100.0;eor
  4642;2013112111;   7;  38;  -1.3; 100.0;eor
  4642;2013112112;   7;  38;  -0.5; 100.0;eor
  4642;2013112113;   7;  38;   0.8; 100.0;eor
  4642;2013112114;   7;  38;   1.1; 100.0;eor
  4642;2013112115;   7;  38;   0.9; 100.0;eor
  4642;2013112116;   7;  38;   0.4; 100.0;eor
  4642;2013112117;   7;  38;  -0.2; 100.0;eor
  4642;2013112118;   7;  38;   0.0; 100.0;eor
  4642;2013112119;   7;  38;   0.7; 100.0;eor
  4642;2013112120;   7;  38;   1.2; 100.0;eor
  4642;2013112121;   7;  38;   0.6; 100.0;eor
  4642;2013112122;   7;  38;   1.0; 100.0;eor
  4642;2013112123;   7;  38;   1.1; 100.0;eor
  4642;2013112200;   7;  38;   1.2;  99.0;eor
  4642;2013112201;   7;  38;   1.5; 100.0;eor
  4642;2013112202;   7;  38;   1.8;  98.0;eor
  4642;2013112203;   7;  38;   1.9;  97.0;eor
  4642;2013112204;   7;  38;   1.8;  98.0;eor
  4642;2013112205;   7;  38;   1.8;  98.0;eor
  4642;2013112206;   7;  38;   2.1;  99.0;eor
  4642;2013112207;   7;  38;   2.4;  98.0;eor
  4642;2013112208;   7;  38;   2.7;  99.0;eor
  4642;2013112209;   7;  38;   3.1;  98.0;eor
  4642;2013112210;   7;  38;   3.7;  97.0;eor
  4642;2013112211;   7;  38;   4.2;  95.0;eor
  4642;2013112212;   7;  38;   4.7;  94.0;eor
  4642;2013112213;   7;  38;   5.0;  93.0;eor
  4642;2013112214;   7;  38;   5.2;  92.0;eor
  4642;2013112215;   7;  38;   5.0;  93.0;eor
  4642;2013112216;   7;  38;   5.2;  93.0;eor
  4642;2013112217;   7;  38;   5.3;  93.0;eor
  4642;2013112218;   7;  38;   5.3;  93.0;eor
  4642;2013112219;   7;  38;   5.5;  93.0;eor
  4642;2013112220;   7;  38;   5.4;  94.0;eor
  4642;2013112221;   7;  38;   5.3;  95.0;eor
  4642;2013112222;   7;  38;   5.4;  96.0;eor
  4642;2013112223;   7;  38;   5.4;  97.0;eor
  4642;2013112300;   7;  38;   5.6;  96.0;eor
  4642;2013112301;   7;  38;   5.7;  97.0;eor
  4642;2013112302;   7;  38;   6.0;  95.0;eor
  4642;2013112303;   7;  38;   5.9;  97.0;eor
  4642;2013112304;   7;  38;   6.1;  95.0;eor
  4642;2013112305;   7;  38;   6.1;  95.0;eor
  4642;2013112306;   7;  38;   6.1;  96.0;eor
  4642;2013112307;   7;  38;   6.3;  95.0;eor
  4642;2013112308;   7;  38;   6.1;  97.0;eor
  4642;2013112309;   7;  38;   6.5;  96.0;eor
  4642;2013112310;   7;  38;   6.6;  93.0;eor
  4642;2013112311;   7;  38;   6.6;  93.0;eor
  4642;2013112312;   7;  38;   6.9;  93.0;eor
  4642;2013112313;   7;  38;   6.9;  91.0;eor
  4642;2013112314;   7;  38;   6.7;  91.0;eor
  4642;2013112315;   7;  38;   6.4;  88.0;eor
  4642;2013112316;   7;  38;   6.1;  88.0;eor
  4642;2013112317;   7;  38;   5.7;  92.0;eor
  4642;2013112318;   7;  38;   5.4;  93.0;eor
  4642;2013112319;   7;  38;   4.9;  91.0;eor
  4642;2013112320;   7;  38;   3.9;  94.0;eor
  4642;2013112321;   7;  38;   2.3;  96.0;eor
  4642;2013112322;   7;  38;   2.1;  97.0;eor
  4642;2013112323;   7;  38;   1.9;  99.0;eor
  4642;2013112400;   7;  38;   0.5; 100.0;eor
  4642;2013112401;   7;  38;   0.1; 100.0;eor
  4642;2013112402;   7;  38;   0.8; 100.0;eor
  4642;2013112403;   7;  38;   1.6;  99.0;eor
  4642;2013112404;   7;  38;   1.8;  98.0;eor
  4642;2013112405;   7;  38;   2.2;  99.0;eor
  4642;2013112406;   7;  38;   2.6;  99.0;eor
  4642;2013112407;   7;  38;   3.0; 100.0;eor
  4642;2013112408;   7;  38;   3.3;  99.0;eor
  4642;2013112409;   7;  38;   4.2;  99.0;eor
  4642;2013112410;   7;  38;   5.0;  97.0;eor
  4642;2013112411;   7;  38;   5.7;  87.0;eor
  4642;2013112412;   7;  38;   5.5;  83.0;eor
  4642;2013112413;   7;  38;   6.1;  59.0;eor
  4642;2013112414;   7;  38;   5.4;  56.0;eor
  4642;2013112415;   7;  38;   4.3;  55.0;eor
  4642;2013112416;   7;  38;   2.8;  62.0;eor
  4642;2013112417;   7;  38;   2.3;  64.0;eor
  4642;2013112418;   7;  38;   1.7;  66.0;eor
  4642;2013112419;   7;  38;   1.0;  70.0;eor
  4642;2013112420;   7;  38;  -0.4;  80.0;eor
  4642;2013112421;   7;  38;  -0.4;  80.0;eor
  4642;2013112422;   7;  38;  -1.3;  84.0;eor
  4642;2013112423;   7;  38;  -0.8;  85.0;eor
  4642;2013112500;   7;  38;  -0.8;  86.0;eor
  4642;2013112501;   7;  38;  -1.2;  86.0;eor
  4642;2013112502;   7;  38;  -1.6;  88.0;eor
  4642;2013112503;   7;  38;  -2.2;  89.0;eor
  4642;2013112504;   7;  38;  -1.9;  85.0;eor
  4642;2013112505;   7;  38;  -2.4;  85.0;eor
  4642;2013112506;   7;  38;  -2.6;  87.0;eor
  4642;2013112507;   7;  38;  -2.8;  88.0;eor
  4642;2013112508;   7;  38;  -2.4;  87.0;eor
  4642;2013112509;   7;  38;  -0.7;  81.0;eor
  4642;2013112510;   7;  38;   0.6;  77.0;eor
  4642;2013112511;   7;  38;   1.9;  76.0;eor
  4642;2013112512;   7;  38;   2.9;  76.0;eor
  4642;2013112513;   7;  38;   3.3;  76.0;eor
  4642;2013112514;   7;  38;   3.4;  77.0;eor
  4642;2013112515;   7;  38;   2.3;  83.0;eor
  4642;2013112516;   7;  38;   1.3;  88.0;eor
  4642;2013112517;   7;  38;   1.1;  89.0;eor
  4642;2013112518;   7;  38;   1.0;  88.0;eor
  4642;2013112519;   7;  38;   0.6;  90.0;eor
  4642;2013112520;   7;  38;  -0.3;  94.0;eor
  4642;2013112521;   7;  38;  -1.2;  96.0;eor
  4642;2013112522;   7;  38;  -0.6;  92.0;eor
  4642;2013112523;   7;  38;  -0.4;  88.0;eor
  4642;2013112600;   7;  38;  -0.5;  91.0;eor
  4642;2013112601;   7;  38;  -0.7;  94.0;eor
  4642;2013112602;   7;  38;  -0.6;  94.0;eor
  4642;2013112603;   7;  38;  -0.8;  93.0;eor
  4642;2013112604;   7;  38;  -1.4;  95.0;eor
  4642;2013112605;   7;  38;  -1.2;  94.0;eor
  4642;2013112606;   7;  38;  -1.9;  97.0;eor
  4642;2013112607;   7;  38;  -2.4; 100.0;eor
  4642;2013112608;   7;  38;  -2.6;  97.0;eor
  4642;2013112609;   7;  38;  -0.6;  90.0;eor
  4642;2013112610;   7;  38;   1.1;  83.0;eor
  4642;2013112611;   7;  38;   2.1;  78.0;eor
  4642;2013112612;   7;  38;   3.0;  73.0;eor
  4642;2013112613;   7;  38;   3.3;  74.0;eor
  4642;2013112614;   7;  38;   3.1;  71.0;eor
  4642;2013112615;   7;  38;   1.3;  83.0;eor
