"TOA5","CR800_50","CR800","1074","CR800.Std.07","CPU:OWL_50.CR8","55452","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","W/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
"2014-10-23 15:10:00",0,20.46,75.31,20.52,76.18,0,0
"2014-11-11 17:08:00",1,7.646,96.2,7.253,99.3,0,0
"2014-11-11 17:09:00",2,7.636,96.2,7.345,99.3,0,0
"2014-11-11 17:10:00",3,7.646,96.1,7.405,99.4,0,0
"2014-11-11 17:11:00",4,7.666,96.1,7.464,99.4,0,0
"2014-11-11 17:12:00",5,7.675,96.1,7.516,99.4,0,0
"2014-11-11 17:13:00",6,7.707,96.2,7.536,99.4,0,0
"2014-11-11 17:14:00",7,7.756,96.2,7.546,99.4,0,0
"2014-11-11 17:15:00",8,7.766,96.2,7.536,99.4,0,0
"2014-11-11 17:16:00",9,7.766,96.2,7.526,99.4,0,0
"2014-11-11 17:17:00",10,7.766,96.2,7.505,99.4,0,0
"2014-11-11 17:18:00",11,7.756,96.2,7.484,99.3,0,0
"2014-11-11 17:19:00",12,7.756,96.2,7.505,99.3,0,0
"2014-11-11 17:20:00",13,7.746,96.2,7.464,99.3,0,0
"2014-11-11 17:21:00",14,7.726,96.2,7.424,99.3,0,0
"2014-11-11 17:22:00",15,7.726,96.2,7.385,99.3,0,0
"2014-11-11 17:23:00",16,7.746,96.2,7.405,99.3,0,0
"2014-11-11 17:24:00",17,7.766,96.2,7.464,99.3,0,0
"2014-11-11 17:25:00",18,7.796,96.2,7.505,99.4,0,0
"2014-11-11 17:26:00",19,7.787,96.2,7.526,99.4,0,0
"2014-11-11 17:27:00",20,7.826,96.2,7.555,99.4,0,0
"2014-11-11 17:28:00",21,7.836,96.2,7.565,99.4,0,0
"2014-11-11 17:29:00",22,7.846,96.2,7.565,99.4,0,0
"2014-11-11 17:30:00",23,7.846,96.2,7.546,99.4,0,0
"2014-11-11 17:31:00",24,7.816,96.2,7.555,99.4,0,0
"2014-11-11 17:32:00",25,7.846,96.2,7.586,99.5,0,0
"2014-11-11 17:33:00",26,7.806,96.2,7.546,99.5,0,0
"2014-11-11 17:34:00",27,7.846,96.2,7.555,99.5,0,0
"2014-11-11 17:35:00",28,7.856,96.3,7.555,99.4,0,0
"2014-11-11 17:36:00",29,7.846,96.2,7.586,99.4,0,0
"2014-11-11 17:37:00",30,7.826,96.2,7.565,99.4,0,0
"2014-11-11 17:38:00",31,7.836,96.2,7.484,99.4,0,0
"2014-11-11 17:39:00",32,7.776,96.2,7.445,99.3,0,0
"2014-11-11 17:40:00",33,7.836,96.2,7.455,99.3,0,0
"2014-11-11 17:41:00",34,7.836,96.2,7.495,99.4,0,0
