"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Rain"
"TIMESTAMP","RECORD","Drop_count_Tot"
"TS","RN","samples"
"","","Tot"
"2014-11-13 03:35:39.7",0,0.1
"2014-11-13 03:53:32.7",1,0.1
"2014-11-13 04:42:04.6",2,0.1
"2014-11-13 13:25:30.3",3,0.1
