"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 18:05:00,92,7.992,89.9,7.68,97.82,0,0
2014-11-11 18:06:00,93,8.04,90,7.72,97.92,0,0
2014-11-11 18:07:00,94,8.07,90,7.72,97.92,0,0
2014-11-11 18:08:00,95,8.08,90.1,7.72,97.92,0,0
2014-11-11 18:09:00,96,8.01,90,7.67,97.92,0,0
2014-11-11 18:10:00,97,7.981,90,7.62,97.92,0,0
2014-11-11 18:11:00,98,7.981,90,7.62,98.01,0,0
2014-11-11 18:12:00,99,8.03,90.1,7.65,98.11,0,0
2014-11-11 18:13:00,100,7.951,90,7.59,98.11,0,0
2014-11-11 18:14:00,101,7.912,90,7.52,98.11,0,0
2014-11-11 18:15:00,102,7.881,90,7.47,98.11,0,0
2014-11-11 18:16:00,103,7.831,90,7.44,98.2,0,0
2014-11-11 18:17:00,104,7.821,90.1,7.43,98.2,0,0
2014-11-11 18:18:00,105,7.811,90.1,7.34,98.2,0,0
2014-11-11 18:19:00,106,7.79,90.1,7.37,98.3,0,0
2014-11-11 18:20:00,107,7.821,90.2,7.36,98.39,0,0
2014-11-11 18:21:00,108,7.78,90.2,7.28,98.39,0,0
2014-11-11 18:22:00,109,7.72,90.2,7.23,98.39,0,0
2014-11-11 18:23:00,110,7.709,90.2,7.23,98.49,0,0
2014-11-11 18:24:00,111,7.679,90.3,7.22,98.49,0,0
2014-11-11 18:25:00,112,7.699,90.3,7.18,98.49,0,0
2014-11-11 18:26:00,113,7.72,90.4,7.2,98.68,0,0
2014-11-11 18:27:00,114,7.72,90.4,7.3,98.68,0,0
2014-11-11 18:28:00,115,7.73,90.4,7.36,98.78,0,0
2014-11-11 18:29:00,116,7.73,90.5,7.34,98.78,0,0
2014-11-11 18:30:00,117,7.699,90.5,7.32,98.78,0,0
2014-11-11 18:31:00,118,7.72,90.5,7.33,98.87,0,0
2014-11-11 18:32:00,119,7.73,90.6,7.32,98.87,0,0
2014-11-11 18:33:00,120,7.741,90.6,7.31,98.97,0,0
2014-11-11 18:34:00,121,7.72,90.5,7.26,98.97,0,0
2014-11-11 18:35:00,122,7.699,90.6,7.24,98.97,0,0
2014-11-11 18:36:00,123,7.689,90.6,7.24,98.97,0,0
2014-11-11 18:37:00,124,7.72,90.6,7.22,99.06,0,0
2014-11-11 18:38:00,125,7.72,90.7,7.26,99.06,0,0
2014-11-11 18:39:00,126,7.741,90.7,7.22,99.06,0,0
2014-11-11 18:40:00,127,7.709,90.7,7.11,99.06,0,0
2014-11-11 18:41:00,128,7.679,90.7,7.02,99.06,0,0
2014-11-11 18:42:00,129,7.609,90.6,6.93,99.06,0,0
2014-11-11 18:43:00,130,7.56,90.6,6.95,99.06,0,0
2014-11-11 18:44:00,131,7.538,90.7,6.92,99.06,0,0
2014-11-11 18:45:00,132,7.519,90.7,6.84,99.06,0,0
2014-11-11 18:46:00,133,7.478,90.7,6.75,99.06,0,0
2014-11-11 18:47:00,134,7.438,90.7,6.75,99.16,0,0
2014-11-11 18:48:00,135,7.569,90.8,7.02,99.25,0,0
2014-11-11 18:49:00,136,7.609,90.9,7.03,99.25,0,0
2014-11-11 18:50:00,137,7.49,90.8,6.81,99.25,0,0
2014-11-11 18:51:00,138,7.448,90.8,6.79,99.25,0,0
2014-11-11 18:52:00,139,7.478,90.8,6.79,99.25,0,0
2014-11-11 18:53:00,140,7.438,90.8,6.74,99.25,0,0
2014-11-11 18:54:00,141,7.377,90.8,6.72,99.25,0,0
2014-11-11 18:55:00,142,7.418,90.8,6.67,99.25,0,0
2014-11-11 18:56:00,143,7.388,90.8,6.63,99.35,0,0
2014-11-11 18:57:00,144,7.358,90.8,6.57,99.25,0,0
2014-11-11 18:58:00,145,7.257,90.8,6.49,99.35,0,0
2014-11-11 18:59:00,146,7.237,90.8,6.46,99.35,0,0
2014-11-11 19:00:00,147,7.398,90.9,6.61,99.45,0,0
2014-11-11 19:01:00,148,7.398,90.9,6.66,99.45,0,0
2014-11-11 19:02:00,149,7.338,90.9,6.63,99.45,0,0
2014-11-11 19:03:00,150,7.276,90.9,6.53,99.45,0,0
2014-11-11 19:04:00,151,7.328,91,6.56,99.45,0,0
2014-11-11 19:05:00,152,7.519,91.1,6.78,99.54,0,0
2014-11-11 19:06:00,153,7.519,91.1,6.81,99.54,0,0
2014-11-11 19:07:00,154,7.367,91,6.67,99.45,0,0
2014-11-11 19:08:00,155,7.49,91,6.86,99.54,0,0
2014-11-11 19:09:00,156,7.55,91.1,6.88,99.54,0,0
2014-11-11 19:10:00,157,7.73,91.2,7.18,99.64,0,0
2014-11-11 19:11:00,158,7.72,91.2,7.16,99.64,0,0
2014-11-11 19:12:00,159,7.801,91.2,7.36,99.64,0,0
2014-11-11 19:13:00,160,7.741,91.2,7.26,99.64,0,0
2014-11-11 19:14:00,161,7.741,91.1,7.17,99.64,0,0
2014-11-11 19:15:00,162,7.891,91.2,7.34,99.64,0,0
2014-11-11 19:16:00,163,7.922,91.2,7.4,99.64,0,0
2014-11-11 19:17:00,164,7.932,91.2,7.48,99.73,0,0
2014-11-11 19:18:00,165,7.901,91.2,7.4,99.64,0,0
2014-11-11 19:19:00,166,7.912,91.1,7.49,99.73,0,0
2014-11-11 19:20:00,167,7.901,91,7.48,99.64,0,0
2014-11-11 19:21:00,168,7.841,91,7.35,99.64,0,0
2014-11-11 19:22:00,169,7.871,91,7.38,99.64,0,0
2014-11-11 19:23:00,170,7.922,90.9,7.47,99.64,0,0
2014-11-11 19:24:00,171,7.912,90.9,7.5,99.64,0,0
2014-11-11 19:25:00,172,7.951,90.9,7.48,99.64,0,0
2014-11-11 19:26:00,173,7.972,90.8,7.56,99.54,0,0
2014-11-11 19:27:00,174,7.972,90.8,7.56,99.54,0,0
2014-11-11 19:28:00,175,8.1,90.9,7.74,99.64,0,0
2014-11-11 19:29:00,176,8.16,90.9,7.83,99.64,0,0
