"TOA5","CR800_50","CR800","1074","CR800.Std.07","CPU:OWL_50.CR8","55452","Rain"
"TIMESTAMP","RECORD","Drop_count_Tot"
"TS","RN","samples"
"","","Tot"
"2014-11-13 01:17:03.9",0,0.1
"2014-11-13 03:18:49.6",1,0.1
"2014-11-13 03:49:39.8",2,0.1
"2014-11-13 04:26:23.1",3,0.1
"2014-11-13 13:32:03.6",4,0.1
