"TOA5","CR800_50","CR800","1074","CR800.Std.07","CPU:OWL_50.CR8","55452","Wind"
"TIMESTAMP","RECORD","Wind_Speed","Wind_Direction","Std_Dev_Wind_Dir"
"TS","RN","","Deg","Deg"
"","","WVc:Mean_Horizontal_Windspeed","WVc:Unit_Vector_Wind_Direction","WVc:Yamartino_Algorithm"
"2014-10-23 15:10:00",0,0.018,326.5,30.16
"2014-11-11 17:08:00",1,0.561,32.77,0
"2014-11-11 17:09:00",2,0.57,36.25,0
"2014-11-11 17:10:00",3,0.469,48.06,0
"2014-11-11 17:11:00",4,0.779,30.13,0
"2014-11-11 17:12:00",5,0.567,37.04,26.85
"2014-11-11 17:13:00",6,0.623,51.99,12.66
"2014-11-11 17:14:00",7,0.62,41.87,19.7
"2014-11-11 17:15:00",8,0.427,36.49,16.12
"2014-11-11 17:16:00",9,0.518,49.34,0
"2014-11-11 17:17:00",10,0.454,41.99,0
"2014-11-11 17:18:00",11,0.433,48.57,0
"2014-11-11 17:19:00",12,0.464,26.95,0
"2014-11-11 17:20:00",13,0.44,37.2,0
"2014-11-11 17:21:00",14,0.542,37.85,0
"2014-11-11 17:22:00",15,0.482,30.47,28.07
"2014-11-11 17:23:00",16,0.601,26.35,27.87
"2014-11-11 17:24:00",17,0.7,51.9,22.23
"2014-11-11 17:25:00",18,0.656,40.26,18.78
"2014-11-11 17:26:00",19,0.494,46.29,0
"2014-11-11 17:27:00",20,0.594,33.51,0
"2014-11-11 17:28:00",21,0.539,46.73,0
"2014-11-11 17:29:00",22,0.468,19.3,18.05
"2014-11-11 17:30:00",23,0.403,29.28,14.64
"2014-11-11 17:31:00",24,0.483,21.52,11.33
"2014-11-11 17:32:00",25,0.482,41.6,40.41
"2014-11-11 17:33:00",26,0.54,52.53,0
"2014-11-11 17:34:00",27,0.625,28.87,0
"2014-11-11 17:35:00",28,0.619,53.72,0
"2014-11-11 17:36:00",29,0.549,28.61,0
"2014-11-11 17:37:00",30,0.532,28.44,0
"2014-11-11 17:38:00",31,0.29,22.39,39.05
"2014-11-11 17:39:00",32,0.446,36.56,13.3
"2014-11-11 17:40:00",33,0.492,42.41,16.06
"2014-11-11 17:41:00",34,0.562,35.83,37.19
"2014-11-11 17:42:00",35,0.518,32.2,0
"2014-11-11 17:43:00",36,0.398,52.19,0
"2014-11-11 17:44:00",37,0.489,42.51,0
"2014-11-11 17:45:00",38,0.401,33.72,0
"2014-11-11 17:46:00",39,0.489,24.44,22.93
"2014-11-11 17:47:00",40,0.519,40.7,18.54
"2014-11-11 17:48:00",41,0.391,52.3,42.21
"2014-11-11 17:49:00",42,0.564,12.85,17.9
"2014-11-11 17:50:00",43,0.538,35.77,0
"2014-11-11 17:51:00",44,0.428,43.25,0
"2014-11-11 17:52:00",45,0.357,102.1,0
"2014-11-11 17:53:00",46,0.648,343.6,0
"2014-11-11 17:54:00",47,0.387,21.48,0
"2014-11-11 17:55:00",48,0.218,45.1,31.76
"2014-11-11 17:56:00",49,0.49,44.64,16.28
"2014-11-11 17:57:00",50,0.388,21.92,41.22
"2014-11-11 17:58:00",51,0.433,41.65,15.06
"2014-11-11 17:59:00",52,0.509,38.33,0
"2014-11-11 18:00:00",53,0.458,34.33,0
"2014-11-11 18:01:00",54,0.431,4.057,0
"2014-11-11 18:02:00",55,0.442,35.51,0
"2014-11-11 18:03:00",56,0.482,52.12,0
"2014-11-11 18:04:00",57,0.407,62.46,22.52
"2014-11-11 18:05:00",58,0.329,46.02,10.13
"2014-11-11 18:06:00",59,0.437,4.761,18.7
"2014-11-11 18:07:00",60,0.396,17.87,30.18
"2014-11-11 18:08:00",61,0.546,18.38,20.7
"2014-11-11 18:09:00",62,0.362,37.57,0
"2014-11-11 18:10:00",63,0.368,23.71,0
"2014-11-11 18:11:00",64,0.291,28.5,0
"2014-11-11 18:12:00",65,0.501,3.267,0
"2014-11-11 18:13:00",66,0.472,37.91,17.02
"2014-11-11 18:14:00",67,0.44,47.13,8.12
"2014-11-11 18:15:00",68,0.379,47.64,10.86
"2014-11-11 18:16:00",69,0.392,20.12,18.68
"2014-11-11 18:17:00",70,0.489,46.82,13.84
"2014-11-11 18:18:00",71,0.343,21.77,10.32
"2014-11-11 18:19:00",72,0.407,50.5,0
"2014-11-11 18:20:00",73,0.436,51.64,0
"2014-11-11 18:21:00",74,0.4,31.2,0
"2014-11-11 18:22:00",75,0.526,23.8,0
"2014-11-11 18:23:00",76,0.367,35.43,0
"2014-11-11 18:24:00",77,0.425,29.8,0
"2014-11-11 18:25:00",78,0.423,43.92,0
"2014-11-11 18:26:00",79,0.424,35.96,0
"2014-11-11 18:27:00",80,0.385,21.84,0
"2014-11-11 18:28:00",81,0.343,35.93,16.63
"2014-11-11 18:29:00",82,0.484,9.48,9.89
"2014-11-11 18:30:00",83,0.45,30.88,18.83
"2014-11-11 18:31:00",84,0.495,1.893,18.27
"2014-11-11 18:32:00",85,0.396,15.84,13.9
"2014-11-11 18:33:00",86,0.464,23.71,11.31
"2014-11-11 18:34:00",87,0.402,20.69,0
"2014-11-11 18:35:00",88,0.368,29.96,0
"2014-11-11 18:36:00",89,0.303,21.8,0
"2014-11-11 18:37:00",90,0.395,16.69,0
"2014-11-11 18:38:00",91,0.42,20.37,0
"2014-11-11 18:39:00",92,0.39,27.36,0
"2014-11-11 18:40:00",93,0.419,50.07,9.39
"2014-11-11 18:41:00",94,0.31,55.77,13.16
"2014-11-11 18:42:00",95,0.456,28.29,16.22
"2014-11-11 18:43:00",96,0.446,51.64,23.04
"2014-11-11 18:44:00",97,0.487,47.9,4.202
"2014-11-11 18:45:00",98,0.33,44.27,13.96
"2014-11-11 18:46:00",99,0.383,44.34,13.68
"2014-11-11 18:47:00",100,0.307,41.46,0
"2014-11-11 18:48:00",101,0.338,24.3,0
"2014-11-11 18:49:00",102,0.499,14.3,0
"2014-11-11 18:50:00",103,0.329,31.98,0
"2014-11-11 18:51:00",104,0.354,32.71,0
"2014-11-11 18:52:00",105,0.404,39.27,13.89
"2014-11-11 18:53:00",106,0.226,70.25,39.07
"2014-11-11 18:54:00",107,0.242,83.1,25.64
"2014-11-11 18:55:00",108,0.121,122.5,38.86
"2014-11-11 18:56:00",109,0.126,91.2,83.2
"2014-11-11 18:57:00",110,0.286,26.77,0
"2014-11-11 18:58:00",111,0.36,41.35,0
"2014-11-11 18:59:00",112,0.354,35.59,0
"2014-11-11 19:00:00",113,0.355,16.9,0
"2014-11-11 19:01:00",114,0.198,324.3,56.66
"2014-11-11 19:02:00",115,0.324,69.63,31.29
"2014-11-11 19:03:00",116,0.431,40.28,21.81
"2014-11-11 19:04:00",117,0.32,13.26,51.22
"2014-11-11 19:05:00",118,0.351,9.78,0
"2014-11-11 19:06:00",119,0.468,30.18,0
"2014-11-11 19:07:00",120,0.448,79.86,0
"2014-11-11 19:08:00",121,0.347,66.65,0
"2014-11-11 19:09:00",122,0.441,24.49,0
"2014-11-11 19:10:00",123,0.496,50.51,15.44
"2014-11-11 19:11:00",124,0.378,38.66,16.7
"2014-11-11 19:12:00",125,0.414,232.9,78.73
