"TOA5","CR800_50","CR800","1074","CR800.Std.07","CPU:OWL_50.CR8","55452","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-10-23 15:10:00",0,0.009,-0.014,-0.006,19.81,0,0,0,0,0,0,0,0,0,0.004,261,0
"2014-11-11 17:08:00",1,-0.305,-0.467,0.031,8.32,0.005,0.001,-0.001,-0.007,0.001,0,0.002,0.002,-0.002,0.035,70,-1
"2014-11-11 17:09:00",2,-0.323,-0.455,0.051,7.705,0.008,-0.003,0,0.009,0.016,0,-0.015,0.001,0,0.033,300,-1
"2014-11-11 17:10:00",3,-0.325,-0.289,0.017,7.445,0.026,-0.002,0.001,-0.013,0.02,-0.002,0.019,0.004,-0.003,0.036,319,-1
"2014-11-11 17:11:00",4,-0.379,-0.636,0.052,7.193,0.057,-0.015,-0.003,0.002,0.018,0.004,-0.003,0.005,0,0.014,300,-1
"2014-11-11 17:12:00",5,-0.354,-0.366,0.002,7.089,0.092,-0.006,0.007,0.001,0.013,-0.003,0.004,0.006,-0.002,0.015,301,0
"2014-11-11 17:13:00",6,-0.491,-0.358,0.025,7.107,0.04,0.001,-0.001,-0.005,0.01,-0.001,0,0.003,0,0.003,300,0
"2014-11-11 17:14:00",7,-0.396,-0.428,0.034,7.012,0.041,-0.014,-0.001,-0.006,0.018,0,0.001,0.002,0,0.005,300,0
"2014-11-11 17:15:00",8,-0.255,-0.319,0.018,6.984,0.022,-0.003,0.002,-0.002,0.006,-0.002,0,0.002,0,0.003,299,0
"2014-11-11 17:16:00",9,-0.397,-0.323,0.045,7.027,0.021,0.005,-0.001,-0.003,0.006,-0.001,-0.001,0.002,0,0.003,300,-1
"2014-11-11 17:17:00",10,-0.307,-0.312,0.026,7,0.029,0.008,0.002,-0.003,0.013,0,-0.001,0.002,0,0.003,300,-1
"2014-11-11 17:18:00",11,-0.321,-0.282,0.024,7.004,0.015,0.009,0,0,0.012,0,0.001,0.006,0,0.004,300,-1
"2014-11-11 17:19:00",12,-0.204,-0.371,0.07,7.004,0.037,-0.007,0,-0.004,0.009,-0.003,-0.001,0.004,0,0.004,300,-1
"2014-11-11 17:20:00",13,-0.273,-0.322,0.047,6.973,0.025,0.003,0.002,-0.008,0.006,-0.001,0,0.001,-0.001,0.01,300,-1
"2014-11-11 17:21:00",14,-0.337,-0.381,0.077,7.004,0.04,-0.007,0,-0.011,0.01,0,0.003,0.002,0,0.006,300,-1
"2014-11-11 17:22:00",15,-0.236,-0.363,0.044,7.036,0.048,-0.002,-0.001,0,0.015,-0.004,0.001,0.005,-0.003,0.005,301,0
"2014-11-11 17:23:00",16,-0.261,-0.467,0.061,7.061,0.082,-0.01,-0.001,0.006,0.012,0.001,0,0.005,0.001,0.005,300,0
"2014-11-11 17:24:00",17,-0.531,-0.387,0.039,7.13,0.069,-0.004,0.005,0.003,0.041,-0.011,0.011,0.006,-0.003,0.014,300,0
"2014-11-11 17:25:00",18,-0.403,-0.468,0.045,7.006,0.047,-0.012,0.001,-0.005,0.038,-0.001,0.008,0.006,-0.002,0.007,300,0
"2014-11-11 17:26:00",19,-0.346,-0.318,0.012,7.112,0.022,-0.004,-0.001,-0.012,0.015,-0.003,0.006,0.003,0,0.013,300,-1
"2014-11-11 17:27:00",20,-0.342,-0.433,0.054,7.118,0.073,0.015,0.001,-0.005,0.037,-0.006,0.003,0.003,0,0.005,300,-1
"2014-11-11 17:28:00",21,-0.39,-0.364,0.005,7.138,0.014,0.006,-0.003,-0.003,0.009,-0.003,-0.001,0.005,0.001,0.005,300,-1
"2014-11-11 17:29:00",22,-0.153,-0.417,0.026,7.1,0.021,-0.005,-0.006,0.002,0.011,0.004,-0.002,0.006,0,0.003,301,0
"2014-11-11 17:30:00",23,-0.193,-0.34,0.058,7.057,0.01,0.001,-0.001,-0.002,0.013,0,0.003,0.001,0,0.006,300,0
"2014-11-11 17:31:00",24,-0.169,-0.442,0.017,7.066,0.007,-0.003,-0.002,0.001,0.007,0.002,-0.001,0.005,-0.002,0.005,300,0
"2014-11-11 17:32:00",25,-0.286,-0.269,0.024,7.025,0.079,-0.013,-0.002,-0.004,0.041,-0.002,0.005,0.005,0,0.005,300,0
"2014-11-11 17:33:00",26,-0.399,-0.272,0.025,7.1,0.056,-0.024,0.003,-0.024,0.03,-0.003,0.007,0.003,0,0.023,300,-1
"2014-11-11 17:34:00",27,-0.315,-0.464,0.011,7.127,0.092,-0.005,0.001,-0.01,0.016,-0.002,0.002,0.003,-0.001,0.007,300,-1
"2014-11-11 17:35:00",28,-0.487,-0.323,0.03,7.105,0.047,-0.016,-0.001,-0.006,0.015,0.001,0.005,0.003,0,0.007,300,-1
"2014-11-11 17:36:00",29,-0.223,-0.431,0.057,7.132,0.051,-0.025,0,-0.008,0.033,0,0.006,0.007,0.002,0.011,300,-1
"2014-11-11 17:37:00",30,-0.26,-0.399,0.097,7.075,0.066,0.002,0.002,-0.005,0.012,-0.002,0.003,0.005,-0.001,0.005,300,-1
"2014-11-11 17:38:00",31,-0.157,-0.202,0.051,6.974,0.035,0.015,-0.002,0,0.011,-0.001,0.003,0.003,-0.002,0.019,301,0
"2014-11-11 17:39:00",32,-0.262,-0.345,0.061,7.066,0.019,0.002,-0.005,0.002,0.01,-0.002,0.002,0.005,0,0.019,300,0
"2014-11-11 17:40:00",33,-0.337,-0.335,0.075,7.184,0.031,0.006,0.001,-0.002,0.011,-0.001,0,0.003,-0.002,0.004,300,0
"2014-11-11 17:41:00",34,-0.221,-0.404,0.014,7.222,0.059,-0.046,0.004,-0.001,0.084,-0.009,0.01,0.003,-0.001,0.009,300,0
"2014-11-11 17:42:00",35,-0.289,-0.405,0.044,7.186,0.037,0.007,-0.004,-0.004,0.009,-0.001,0,0.004,0.002,0.004,300,-1
"2014-11-11 17:43:00",36,-0.299,-0.203,0.039,7.225,0.028,-0.009,-0.002,-0.002,0.012,0.001,0,0.002,0,0.004,300,-1
"2014-11-11 17:44:00",37,-0.333,-0.344,0.059,7.228,0.016,0.002,0.002,-0.004,0.004,-0.001,0,0.002,0,0.003,300,-1
"2014-11-11 17:45:00",38,-0.181,-0.309,0.007,7.195,0.015,-0.013,0,-0.004,0.025,-0.001,0.005,0.001,0,0.004,300,-1
"2014-11-11 17:46:00",39,-0.195,-0.404,0.012,7.151,0.04,-0.009,-0.003,-0.003,0.008,-0.001,0,0.001,0,0.004,301,0
"2014-11-11 17:47:00",40,-0.339,-0.356,-0.006,7.18,0.04,-0.005,0.002,-0.006,0.006,-0.001,0.002,0.002,0,0.005,300,0
"2014-11-11 17:48:00",41,-0.247,-0.173,0.027,7.199,0.052,-0.019,-0.004,-0.01,0.021,0.002,0.004,0.002,0.001,0.006,300,0
"2014-11-11 17:49:00",42,-0.11,-0.527,0.034,7.073,0.024,-0.006,0,0.005,0.013,-0.001,-0.005,0.001,0.001,0.006,300,0
"2014-11-11 17:50:00",43,-0.308,-0.408,0.014,7.05,0.041,0.004,-0.001,-0.006,0.019,-0.006,-0.005,0.004,0.002,0.005,300,-1
"2014-11-11 17:51:00",44,-0.288,-0.273,0.014,7.136,0.028,-0.007,0.002,-0.012,0.005,-0.001,0.002,0.002,-0.001,0.014,300,-1
