"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Control"
"TIMESTAMP","RECORD","Bat12V","CaseT"
"TS","RN","V","DegC"
"","","Smp","Smp"
"2014-10-23 13:35:00",0,12.99,21.29
"2014-10-23 13:36:00",1,12.98,21.31
"2014-10-23 13:37:00",2,12.99,21.34
"2014-10-23 13:38:00",3,12.99,21.4
"2014-10-23 13:42:00",4,13,21.45
"2014-10-23 13:43:00",5,13,21.48
"2014-10-23 13:44:00",6,13,21.51
"2014-10-23 13:45:00",7,13,21.53
"2014-10-23 13:47:00",8,12.96,21.56
"2014-10-23 13:48:00",9,12.95,21.59
"2014-10-23 13:49:00",10,12.93,21.62
"2014-10-23 13:50:00",11,12.92,21.62
"2014-10-23 13:51:00",12,12.92,21.64
"2014-10-23 13:52:00",13,12.91,21.67
"2014-10-23 13:53:00",14,12.91,21.67
"2014-10-23 13:54:00",15,12.91,21.7
"2014-10-23 13:55:00",16,12.9,21.72
"2014-10-23 13:56:00",17,12.9,21.72
"2014-10-23 13:57:00",18,12.9,21.75
"2014-10-23 13:58:00",19,12.9,21.78
"2014-10-23 13:59:00",20,12.9,21.78
"2014-10-23 14:00:00",21,12.9,21.81
"2014-10-23 14:01:00",22,12.89,21.84
"2014-10-23 14:02:00",23,12.89,21.84
"2014-10-23 14:03:00",24,12.89,21.84
"2014-10-23 14:04:00",25,12.89,21.86
"2014-10-23 14:05:00",26,12.89,21.86
"2014-10-23 14:06:00",27,12.89,21.89
"2014-10-23 14:07:00",28,12.89,21.89
"2014-10-23 14:08:00",29,12.89,21.92
"2014-10-23 14:09:00",30,12.89,21.92
"2014-10-23 14:10:00",31,12.89,21.95
"2014-10-23 14:11:00",32,12.89,21.95
"2014-10-23 14:12:00",33,12.89,21.95
"2014-10-23 14:13:00",34,12.89,21.97
"2014-10-23 14:14:00",35,12.89,22
"2014-10-23 14:15:00",36,12.88,22
"2014-10-23 14:54:00",37,12.98,22.03
"2014-11-11 16:56:00",38,13.07,8.48
"2014-11-11 16:57:00",39,13.05,8.48
"2014-11-11 16:59:00",40,13.02,8.5
"2014-11-11 17:00:00",41,13,8.5
"2014-11-11 17:01:00",42,12.98,8.52
"2014-11-11 17:02:00",43,12.97,8.52
"2014-11-11 17:03:00",44,12.96,8.52
"2014-11-11 17:04:00",45,12.95,8.52
"2014-11-11 17:05:00",46,12.93,8.52
"2014-11-11 17:06:00",47,12.92,8.52
"2014-11-11 17:07:00",48,12.91,8.52
"2014-11-11 17:08:00",49,12.88,8.52
"2014-11-11 17:09:00",50,12.9,8.52
"2014-11-11 17:10:00",51,12.88,8.52
"2014-11-11 17:11:00",52,12.88,8.5
"2014-11-11 17:12:00",53,12.87,8.5
"2014-11-11 17:13:00",54,12.87,8.5
"2014-11-11 17:14:00",55,12.86,8.5
"2014-11-11 17:15:00",56,12.86,8.48
"2014-11-11 17:16:00",57,12.86,8.48
"2014-11-11 17:17:00",58,12.86,8.48
"2014-11-11 17:18:00",59,12.85,8.46
"2014-11-11 17:19:00",60,12.85,8.46
"2014-11-11 17:20:00",61,12.85,8.44
"2014-11-11 17:21:00",62,12.85,8.44
"2014-11-11 17:22:00",63,12.84,8.44
"2014-11-11 17:23:00",64,12.85,8.44
"2014-11-11 17:24:00",65,12.84,8.44
"2014-11-11 17:25:00",66,12.84,8.41
"2014-11-11 17:26:00",67,12.84,8.41
"2014-11-11 17:27:00",68,12.84,8.39
"2014-11-11 17:28:00",69,12.84,8.39
"2014-11-11 17:29:00",70,12.84,8.39
