"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Wind"
"TIMESTAMP","RECORD","Wind_Speed","Wind_Direction","Std_Dev_Wind_Dir"
"TS","RN","","Deg","Deg"
"","","WVc:Mean_Horizontal_Windspeed","WVc:Unit_Vector_Wind_Direction","WVc:Yamartino_Algorithm"
"2014-11-11 18:25:00",112,0.406,9.3,51.29
"2014-11-11 18:26:00",113,0.407,323.6,84.2
"2014-11-11 18:27:00",114,0.381,279.9,0
"2014-11-11 18:28:00",115,0.326,340.8,0
"2014-11-11 18:29:00",116,0.394,226.5,0
"2014-11-11 18:30:00",117,0.379,227,80.3
"2014-11-11 18:31:00",118,0.503,298.2,12.62
"2014-11-11 18:32:00",119,0.7,321,41.69
"2014-11-11 18:33:00",120,0.581,337.8,0
"2014-11-11 18:34:00",121,0.542,328.4,0
"2014-11-11 18:35:00",122,0.566,327.9,13.38
"2014-11-11 18:36:00",123,0.355,1.294,50.03
"2014-11-11 18:37:00",124,0.538,315,17.45
"2014-11-11 18:38:00",125,0.628,322.4,0
"2014-11-11 18:39:00",126,0.658,333.9,0
"2014-11-11 18:40:00",127,0.362,354.7,14.18
"2014-11-11 18:41:00",128,0.276,354.4,31.23
"2014-11-11 18:42:00",129,0.204,14.4,78.13
"2014-11-11 18:43:00",130,0.425,339.3,36.81
"2014-11-11 18:44:00",131,0.401,28.42,0
"2014-11-11 18:45:00",132,0.244,139.7,0
"2014-11-11 18:46:00",133,0.211,31.54,0
"2014-11-11 18:47:00",134,0.385,0.798,27.91
"2014-11-11 18:48:00",135,0.659,44.9,27.87
"2014-11-11 18:49:00",136,0.714,334.5,47.45
"2014-11-11 18:50:00",137,0.469,6.374,0
"2014-11-11 18:51:00",138,0.433,337.4,0
"2014-11-11 18:52:00",139,0.309,36.25,0
"2014-11-11 18:53:00",140,0.305,18.99,66.8
"2014-11-11 18:54:00",141,0.33,56.74,52.86
"2014-11-11 18:55:00",142,0.615,90.2,38.39
"2014-11-11 18:56:00",143,0.281,4.417,0
"2014-11-11 18:57:00",144,0.195,356.5,0
"2014-11-11 18:58:00",145,0.247,64.5,0
"2014-11-11 18:59:00",146,0.505,42.71,40.68
"2014-11-11 19:00:00",147,0.541,347.1,23.06
"2014-11-11 19:01:00",148,0.482,347.5,76.17
"2014-11-11 19:02:00",149,0.905,62.28,0
"2014-11-11 19:03:00",150,0.44,62.66,0
"2014-11-11 19:04:00",151,0.667,98.7,33.93
"2014-11-11 19:05:00",152,0.8,77.51,34.93
"2014-11-11 19:06:00",153,0.427,59,60.71
"2014-11-11 19:07:00",154,0.696,67.33,0
"2014-11-11 19:08:00",155,0.606,25.83,0
"2014-11-11 19:09:00",156,0.939,66.66,0
"2014-11-11 19:10:00",157,1.111,76.85,32.89
"2014-11-11 19:11:00",158,0.985,64.69,58.02
"2014-11-11 19:12:00",159,0.984,57.87,0
"2014-11-11 19:13:00",160,0.866,66.04,0
"2014-11-11 19:14:00",161,1.141,72.14,21.8
"2014-11-11 19:15:00",162,1.353,75.96,32.21
"2014-11-11 19:16:00",163,0.733,61.74,29.94
"2014-11-11 19:17:00",164,1.178,64.22,0
"2014-11-11 19:18:00",165,1.308,43.2,0
"2014-11-11 19:19:00",166,1.155,90,26.84
"2014-11-11 19:20:00",167,1.032,33.22,45.45
"2014-11-11 19:21:00",168,0.621,342.5,57.44
"2014-11-11 19:22:00",169,1.023,50.62,62.86
"2014-11-11 19:23:00",170,0.433,122.7,0
"2014-11-11 19:24:00",171,0.431,45.26,0
"2014-11-11 19:25:00",172,0.736,19.93,0
"2014-11-11 19:26:00",173,0.469,305.4,55.31
"2014-11-11 19:27:00",174,0.823,40.97,39.29
"2014-11-11 19:28:00",175,1.091,73.4,0
"2014-11-11 19:29:00",176,0.953,70.72,0
"2014-11-11 19:30:00",177,0.728,0.313,19.53
"2014-11-11 19:31:00",178,0.524,202.8,88.8
"2014-11-11 19:32:00",179,0.512,135,54.15
"2014-11-11 19:33:00",180,0.338,357.7,70.78
"2014-11-11 19:34:00",181,0.46,325.2,0
"2014-11-11 19:35:00",182,0.944,111.8,0
"2014-11-11 19:36:00",183,0.465,330.6,0
"2014-11-11 19:37:00",184,0.734,351.8,37.19
"2014-11-11 19:38:00",185,0.527,3.13,54.44
"2014-11-11 19:39:00",186,0.331,340.1,0
"2014-11-11 19:40:00",187,0.717,94.9,0
"2014-11-11 19:41:00",188,0.855,16.08,28.94
"2014-11-11 19:42:00",189,0.553,27.19,26.43
"2014-11-11 19:43:00",190,0.764,78.37,0
"2014-11-11 19:44:00",191,0.606,30.31,0
"2014-11-11 19:45:00",192,1.104,37.54,24.03
"2014-11-11 19:46:00",193,1.224,48.79,28.21
"2014-11-11 19:47:00",194,1.22,46.83,34.11
"2014-11-11 19:48:00",195,0.546,7.718,0
"2014-11-11 19:49:00",196,1.053,71.47,0
"2014-11-11 19:50:00",197,1.338,51.11,25.12
"2014-11-11 19:51:00",198,0.853,54.2,34.62
"2014-11-11 19:52:00",199,0.55,56.29,37.13
"2014-11-11 19:53:00",200,0.485,348.6,0
"2014-11-11 19:54:00",201,0.857,93,0
"2014-11-11 19:55:00",202,0.91,93.7,0
"2014-11-11 19:56:00",203,0.485,49.8,45.89
"2014-11-11 19:57:00",204,0.632,17.13,42.34
"2014-11-11 19:58:00",205,0.861,97.3,42.99
"2014-11-11 19:59:00",206,1.501,38.11,0
"2014-11-11 20:00:00",207,0.74,37.15,0
"2014-11-11 20:01:00",208,1.211,43.73,25.77
