"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Wind"
"TIMESTAMP","RECORD","Wind_Speed","Wind_Direction","Std_Dev_Wind_Dir"
"TS","RN","","Deg","Deg"
"","","WVc:Mean_Horizontal_Windspeed","WVc:Unit_Vector_Wind_Direction","WVc:Yamartino_Algorithm"
"2014-10-23 13:35:00",0,"NAN",0,0
"2014-10-23 13:36:00",1,"NAN",0,0
"2014-10-23 13:37:00",2,"NAN",0,0
"2014-10-23 13:38:00",3,"NAN",0,0
"2014-10-23 13:42:00",4,"NAN",0,0
"2014-10-23 13:43:00",5,"NAN",0,0
"2014-10-23 13:44:00",6,"NAN",0,0
"2014-10-23 13:45:00",7,"NAN",0,0
"2014-10-23 13:47:00",8,0.031,332.6,12.8
"2014-10-23 13:48:00",9,0.03,333.3,0
"2014-10-23 13:49:00",10,0.027,319,0
"2014-10-23 13:50:00",11,0.037,344.7,0
"2014-10-23 13:51:00",12,0.026,326.1,28.96
"2014-10-23 13:52:00",13,0.026,308.3,37.62
"2014-10-23 13:53:00",14,0.036,341.8,0
"2014-10-23 13:54:00",15,0.034,337.9,0
"2014-10-23 13:55:00",16,0.031,328.5,23.22
"2014-10-23 13:56:00",17,0.039,335.4,16.81
"2014-10-23 13:57:00",18,0.042,343.4,51.19
"2014-10-23 13:58:00",19,0.03,319.2,0
"2014-10-23 13:59:00",20,0.021,189.1,0
"2014-10-23 14:00:00",21,0.02,313.5,59.11
"2014-10-23 14:01:00",22,0.015,244.8,70.23
"2014-10-23 14:02:00",23,0.023,38.86,0
"2014-10-23 14:03:00",24,0.024,358.3,0
"2014-10-23 14:04:00",25,0.031,339.3,73.62
"2014-10-23 14:05:00",26,0.026,272.6,31.06
"2014-10-23 14:06:00",27,0.04,342.8,0
"2014-10-23 14:07:00",28,0.034,356.4,0
"2014-10-23 14:08:00",29,0.036,334.6,19.38
"2014-10-23 14:09:00",30,0.034,328.4,21.07
"2014-10-23 14:10:00",31,0.028,318.8,39.33
"2014-10-23 14:11:00",32,0.037,326.9,0
"2014-10-23 14:12:00",33,0.04,338.1,0
"2014-10-23 14:13:00",34,0.034,340.9,0
"2014-10-23 14:14:00",35,0.027,344.3,15.03
"2014-10-23 14:15:00",36,0.035,345.7,19.82
"2014-10-23 14:54:00",37,0.037,24.44,18.51
"2014-11-11 16:56:00",38,0.98,89.1,26.36
"2014-11-11 16:57:00",39,0.882,101.4,37.83
"2014-11-11 16:59:00",40,1.093,56.05,0
"2014-11-11 17:00:00",41,1.242,72.26,0
"2014-11-11 17:01:00",42,1.03,86.4,25.31
"2014-11-11 17:02:00",43,1.221,102.6,25.66
"2014-11-11 17:03:00",44,1.291,78.96,0
"2014-11-11 17:04:00",45,0.914,50.95,0
"2014-11-11 17:05:00",46,0.701,58.63,0
"2014-11-11 17:06:00",47,1.264,66.15,27.07
"2014-11-11 17:07:00",48,1.645,95.6,15.37
"2014-11-11 17:08:00",49,1.763,68.34,0
"2014-11-11 17:09:00",50,1.442,71,0
"2014-11-11 17:10:00",51,1.048,85.6,18.98
"2014-11-11 17:11:00",52,1.379,65.49,16.1
"2014-11-11 17:12:00",53,2.213,89.5,0
"2014-11-11 17:13:00",54,1.06,64.22,0
"2014-11-11 17:14:00",55,0.85,61.08,0
"2014-11-11 17:15:00",56,1.285,79.03,34.36
"2014-11-11 17:16:00",57,0.929,73.82,27.65
"2014-11-11 17:17:00",58,1.7,103.4,0
"2014-11-11 17:18:00",59,1.689,90.8,0
"2014-11-11 17:19:00",60,2.024,72.13,0
"2014-11-11 17:20:00",61,1.126,83.9,13.43
"2014-11-11 17:21:00",62,1.47,94.5,12.95
"2014-11-11 17:22:00",63,1.289,54.84,0
"2014-11-11 17:23:00",64,0.658,86.3,0
"2014-11-11 17:24:00",65,1.088,98.8,0
"2014-11-11 17:25:00",66,0.971,96.9,29.15
"2014-11-11 17:26:00",67,2.239,88.2,22.21
"2014-11-11 17:27:00",68,1.076,117.1,28.54
"2014-11-11 17:28:00",69,1.633,91.3,0
"2014-11-11 17:29:00",70,0.639,67.46,0
"2014-11-11 17:30:00",71,1.302,74.66,0
"2014-11-11 17:31:00",72,1.111,74.92,33.93
"2014-11-11 17:32:00",73,2.368,77.79,24.11
"2014-11-11 17:33:00",74,1.68,94.8,0
"2014-11-11 17:34:00",75,1.895,61.89,0
"2014-11-11 17:35:00",76,1.164,72.32,0
"2014-11-11 17:36:00",77,2.063,68.8,20.39
"2014-11-11 17:37:00",78,1.753,82.9,21.6
"2014-11-11 17:38:00",79,0.904,65.15,0
"2014-11-11 17:39:00",80,1.425,86.7,0
"2014-11-11 17:40:00",81,1.639,65.8,0
"2014-11-11 17:41:00",82,1.298,102.5,23.07
"2014-11-11 17:42:00",83,1.527,84.7,14.95
"2014-11-11 17:43:00",84,0.85,76.09,0
"2014-11-11 17:44:00",85,1.087,62.08,0
"2014-11-11 17:45:00",86,0.962,100.3,0
"2014-11-11 17:46:00",87,0.845,84.8,22.73
"2014-11-11 17:47:00",88,1.335,76.05,25.61
"2014-11-11 17:48:00",89,0.999,76.48,0
"2014-11-11 17:49:00",90,1,105.6,0
"2014-11-11 17:50:00",91,1.168,66.56,43.05
"2014-11-11 17:51:00",92,0.908,113.3,26.05
"2014-11-11 17:52:00",93,1.849,83,22.99
"2014-11-11 17:53:00",94,0.886,89.8,0
"2014-11-11 17:54:00",95,1.038,69.24,0
"2014-11-11 17:55:00",96,1.389,108.6,31.4
"2014-11-11 17:56:00",97,1.324,91.6,18.62
"2014-11-11 17:57:00",98,0.741,85.5,25.7
"2014-11-11 17:58:00",99,1.516,66.48,0
"2014-11-11 17:59:00",100,1.263,89.1,0
"2014-11-11 18:00:00",101,1.473,99.1,0
"2014-11-11 18:01:00",102,1.386,82.1,18.95
"2014-11-11 18:02:00",103,1.15,93.8,30.78
"2014-11-11 18:03:00",104,0.859,61.84,21.53
"2014-11-11 18:04:00",105,1.051,69.93,0
"2014-11-11 18:05:00",106,1.06,70.18,0
"2014-11-11 18:06:00",107,1.325,74.72,0
"2014-11-11 18:07:00",108,0.787,60.34,36.81
"2014-11-11 18:08:00",109,0.806,66.88,53.03
"2014-11-11 18:09:00",110,1.185,102.6,13.07
"2014-11-11 18:10:00",111,0.793,60.91,0
"2014-11-11 18:11:00",112,0.951,56.62,0
"2014-11-11 18:12:00",113,0.982,41.46,20.5
"2014-11-11 18:13:00",114,0.717,61.94,24.76
"2014-11-11 18:14:00",115,1.034,43.8,29.81
"2014-11-11 18:15:00",116,0.818,104.3,0
"2014-11-11 18:16:00",117,0.596,19.5,0
"2014-11-11 18:17:00",118,0.657,73.97,0
"2014-11-11 18:18:00",119,1.284,112.8,18.41
"2014-11-11 18:19:00",120,0.735,78.81,55.09
"2014-11-11 18:20:00",121,0.976,118,0
"2014-11-11 18:21:00",122,0.752,67.28,0
"2014-11-11 18:22:00",123,1.038,75.75,0
"2014-11-11 18:23:00",124,1.196,66.36,16.61
"2014-11-11 18:24:00",125,1.025,62.9,20.79
"2014-11-11 18:25:00",126,0.975,50,0
"2014-11-11 18:26:00",127,0.519,82,0
