"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 16:56:00,38,7.9,96.82,7.93,98.01,0,0
2014-11-11 16:57:00,39,7.89,96.92,7.94,98.01,0,0
2014-11-11 16:59:00,40,7.93,97.01,7.99,98.1,0,0
2014-11-11 17:00:00,41,7.96,97.11,7.99,98.1,0,0
2014-11-11 17:01:00,42,7.94,97.11,7.95,98.01,0,0
2014-11-11 17:02:00,43,7.98,97.21,7.99,98.1,0,0
2014-11-11 17:03:00,44,7.96,97.21,7.99,98.01,0,0
2014-11-11 17:04:00,45,7.9,97.11,7.97,98.01,0,0
2014-11-11 17:05:00,46,7.82,97.01,7.89,98.01,0,0
2014-11-11 17:06:00,47,7.86,97.11,7.94,98.01,0,0
2014-11-11 17:07:00,48,7.84,97.21,7.98,98.01,0,0
2014-11-11 17:08:00,49,7.93,97.3,8.03,98.1,0,0
2014-11-11 17:09:00,50,7.84,97.21,7.94,97.91,0,0
2014-11-11 17:10:00,51,7.86,97.3,7.95,98.01,0,0
2014-11-11 17:11:00,52,7.88,97.4,8,98.01,0,0
2014-11-11 17:12:00,53,8,97.5,8.13,98.1,0,0
2014-11-11 17:13:00,54,8.02,97.5,8.09,98.01,0,0
2014-11-11 17:14:00,55,8,97.5,8.09,98.01,0,0
2014-11-11 17:15:00,56,8.02,97.5,8.15,97.91,0,0
2014-11-11 17:16:00,57,8,97.4,8.09,97.82,0,0
2014-11-11 17:17:00,58,8.06,97.5,8.13,97.82,0,0
2014-11-11 17:18:00,59,8.09,97.4,8.15,97.82,0,0
2014-11-11 17:19:00,60,8.06,97.3,8.15,97.72,0,0
2014-11-11 17:20:00,61,8.1,97.3,8.15,97.62,0,0
2014-11-11 17:21:00,62,8.1,97.21,8.17,97.62,0,0
2014-11-11 17:22:00,63,8.08,97.21,8.14,97.62,0,0
2014-11-11 17:23:00,64,8.02,97.11,8.1,97.53,0,0
2014-11-11 17:24:00,65,7.95,96.92,8.06,97.43,0,0
2014-11-11 17:25:00,66,7.9,96.92,8.01,97.43,0,0
2014-11-11 17:26:00,67,8.02,97.21,8.14,97.62,0,0
2014-11-11 17:27:00,68,8.07,97.3,8.19,97.62,0,0
2014-11-11 17:28:00,69,8.1,97.3,8.18,97.62,0,0
2014-11-11 17:29:00,70,8.08,97.3,8.15,97.53,0,0
2014-11-11 17:30:00,71,8.07,97.21,8.17,97.53,0,0
2014-11-11 17:31:00,72,8.11,97.3,8.21,97.62,0,0
2014-11-11 17:32:00,73,8.13,97.4,8.23,97.53,0,0
