"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-10-23 11:36:00",0,0.004,-0.002,-0.002,25.8,0,0,0,0,0,0,0,0,0,0.002,45,0
"2014-10-23 11:37:00",1,-0.006,-0.005,0.003,25.81,0,0,0,0,0,0,0,0,0,0.002,300,0
"2014-10-23 11:38:00",2,0.007,-0.008,0.006,25.82,0,0,0,0,0,0,0,0,0,0.003,299,0
"2014-10-23 11:39:00",3,0.006,-0.012,0.009,25.85,0,0,0,0,0,0,0,0,0,0.003,300,0
"2014-10-23 11:40:00",4,0.004,-0.011,0.016,25.85,0,0,0,0,0,0,0,0,0,0.003,300,-1
"2014-10-23 13:41:00",5,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1
"2014-11-11 16:37:00",6,-0.362,0.217,0.098,13.4,0.148,-0.004,-0.016,-0.089,0.104,-0.009,0.025,0.036,-0.018,0.188,263,-1
"2014-11-11 16:38:00",7,-0.18,-0.188,0.037,13.52,0.103,0.031,-0.009,-0.025,0.032,0.004,-0.001,0.023,0.002,0.029,300,-1
"2014-11-11 16:39:00",8,0.075,-0.152,0.034,13.76,0.015,0.011,0.004,0.004,0.036,0.004,-0.002,0.004,-0.001,0.011,300,-1
"2014-11-11 16:40:00",9,-0.035,-0.036,0.046,13.84,0.042,0.012,-0.011,0.014,0.033,-0.008,-0.001,0.025,-0.005,0.023,300,-1
"2014-11-11 16:41:00",10,-0.684,-0.266,-0.274,13.99,0.227,-0.085,-0.014,-0.047,0.235,0.018,0,0.109,-0.021,0.045,301,0
"2014-11-11 16:42:00",11,-0.624,0.122,-0.029,13.88,0.062,0.006,0.009,0.007,0.051,0.013,0.011,0.043,0.012,0.023,300,0
"2014-11-11 16:43:00",12,0.008,-0.106,0.101,13.8,0.045,0.016,0.001,-0.003,0.053,0.005,0,0.011,0.003,0.036,300,-1
"2014-11-11 16:44:00",13,-0.986,-0.142,-0.145,13.95,0.123,-0.031,-0.022,0.01,0.111,0.023,-0.005,0.06,-0.007,0.025,300,-1
"2014-11-11 16:45:00",14,-0.053,-0.311,-0.058,13.91,0.193,-0.047,-0.013,0.008,0.076,0.009,-0.005,0.026,-0.004,0.014,301,0
"2014-11-11 16:46:00",15,-0.02,-0.438,-0.047,13.85,0.072,-0.006,0.006,0.007,0.033,0.004,0.001,0.023,0.004,0.023,300,0
"2014-11-11 16:47:00",16,0.058,-0.353,0.026,13.66,0.017,-0.011,-0.006,0.001,0.068,0.018,0.003,0.011,-0.003,0.033,300,0
"2014-11-11 16:50:00",17,-0.364,-0.279,-0.023,4.065,0.009,0,0.001,-0.121,0.017,-0.004,0.259,0.003,-0.086,8.71,158,-1
"2014-11-11 16:51:00",18,-0.128,-0.101,0.04,10.88,0.108,-0.017,0.017,0.082,0.049,0.003,-0.074,0.013,0.027,0.636,300,-1
"2014-11-11 16:52:00",19,-0.324,-0.263,-0.024,13,0.07,-0.002,0.011,-0.078,0.118,0.023,-0.062,0.028,-0.02,0.252,300,-1
"2014-11-11 16:53:00",20,-0.126,-0.062,0.081,13.32,0.059,0.004,-0.001,-0.039,0.044,0.008,-0.001,0.016,-0.004,0.05,301,0
"2014-11-11 16:54:00",21,-0.021,-0.012,-0.015,13.47,0.024,0.009,0.01,0.002,0.037,-0.002,0.002,0.011,0.001,0.012,300,0
"2014-11-11 16:55:00",22,0.025,-0.096,0.002,13.64,0.016,-0.001,0.003,0.009,0.005,0.002,0.002,0.003,0.002,0.019,300,0
"2014-11-11 16:56:00",23,-0.081,0.011,0.015,13.74,0.007,0.009,0,-0.001,0.036,0.005,-0.001,0.004,0,0.012,300,-1
"2014-11-11 16:57:00",24,-0.34,-0.083,-0.029,13.86,0.21,0.082,-0.021,0.025,0.098,0.005,0.038,0.021,0.003,0.038,300,-1
"2014-11-11 16:58:00",25,-0.754,-0.218,-0.165,13.83,0.441,0.036,0.079,0.002,0.167,0.051,-0.007,0.105,-0.003,0.054,301,0
"2014-11-11 16:59:00",26,-0.316,0.094,-0.061,13.74,0.147,0.014,-0.014,-0.033,0.104,0.014,-0.011,0.018,0.016,0.044,300,0
"2014-11-11 17:00:00",27,-0.859,-0.042,-0.207,13.88,0.074,-0.016,-0.01,-0.009,0.096,0.017,-0.005,0.044,0.01,0.034,300,-1
"2014-11-11 17:01:00",28,-0.708,-0.044,-0.052,13.75,0.11,0.031,0.046,-0.039,0.115,0.036,0.002,0.096,-0.028,0.076,300,-1
"2014-11-11 17:02:00",29,-0.368,-0.144,-0.03,13.74,0.071,0.003,-0.003,0.003,0.122,0.056,0.004,0.04,0.006,0.068,300,-1
"2014-11-11 17:03:00",30,0.127,-0.113,-0.009,13.61,0.029,-0.028,0.005,0.011,0.072,0.01,-0.004,0.015,0,0.037,301,0
"2014-11-11 17:04:00",31,-0.165,-0.282,-0.024,13.7,0.091,0.033,0.043,-0.036,0.158,0.017,-0.051,0.046,-0.023,0.063,299,0
"2014-11-11 17:05:00",32,-0.507,-0.487,-0.126,13.92,0.269,-0.088,0.039,-0.023,0.257,0.039,0.005,0.136,-0.007,0.044,321,-1
"2014-11-11 17:06:00",33,-0.371,-0.783,-0.191,13.81,0.312,0.136,0.041,-0.047,0.196,0.05,-0.017,0.065,-0.014,0.039,300,-1
"2014-11-11 17:07:00",34,-0.087,-0.626,-0.061,13.66,0.065,0.046,0.014,0.016,0.069,0.004,0.009,0.015,0.006,0.022,301,0
"2014-11-11 17:08:00",35,-0.28,-0.292,0.043,13.82,0.093,-0.015,-0.035,0.017,0.168,0.016,0.015,0.051,0.001,0.042,300,0
"2014-11-11 17:09:00",36,0.121,-0.53,0.014,13.49,0.012,-0.003,0.002,0.002,0.058,0.015,0.003,0.019,0.016,0.049,300,-1
"2014-11-11 17:10:00",37,-1.131,-0.228,-0.135,13.88,0.516,-0.224,0.075,-0.089,0.277,0.011,0.064,0.135,-0.03,0.065,300,-1
"2014-11-11 17:11:00",38,-0.388,-0.844,-0.054,13.73,0.119,0.01,-0.003,0.021,0.051,0.009,0.016,0.023,0.001,0.045,301,0
"2014-11-11 17:12:00",39,0.026,-0.336,-0.042,13.7,0.072,0.042,-0.013,0.031,0.054,-0.008,0.026,0.032,-0.026,0.085,300,0
"2014-11-11 17:13:00",40,-0.17,-0.053,-0.005,13.93,0.127,-0.045,-0.016,0.029,0.398,0.059,-0.043,0.07,-0.008,0.049,300,0
"2014-11-11 17:14:00",41,-0.615,-0.164,0.084,13.82,0.163,0.085,-0.012,0.019,0.398,0.001,0.072,0.074,-0.014,0.06,300,-1
"2014-11-11 17:15:00",42,-0.466,-0.218,0.13,13.88,0.258,-0.004,0.033,-0.009,0.098,0.007,-0.007,0.036,-0.002,0.032,300,-1
"2014-11-11 17:16:00",43,-0.255,-0.467,0.029,13.9,0.179,0.033,0.029,-0.025,0.106,0.024,0.006,0.044,-0.006,0.029,300,-1
"2014-11-11 17:17:00",44,-0.258,-0.317,-0.057,13.76,0.396,-0.172,0.013,-0.092,0.151,0.02,0.051,0.05,-0.017,0.071,301,0
