"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-11-11 17:02:00",43,-1.076,0.238,-0.22,15.25,0.096,0.058,-0.021,0.012,0.265,-0.052,0.035,0.084,-0.018,0.019,300,0
"2014-11-11 17:03:00",44,-1.178,-0.179,-0.066,15.26,0.11,-0.055,0.02,0,0.238,-0.043,0.018,0.076,-0.017,0.014,300,-1
"2014-11-11 17:04:00",45,-0.667,-0.406,-0.035,15.15,0.242,-0.02,0.019,0.004,0.146,-0.014,0.019,0.05,-0.017,0.017,300,-1
"2014-11-11 17:05:00",46,-0.558,-0.349,-0.028,15.02,0.067,0.005,0.015,-0.008,0.072,-0.006,-0.007,0.113,-0.063,0.058,300,-1
"2014-11-11 17:06:00",47,-0.989,-0.529,-0.156,15.22,0.089,-0.008,-0.022,0.046,0.431,-0.027,0.012,0.063,-0.025,0.05,301,0
"2014-11-11 17:07:00",48,-1.588,0.174,-0.236,15.34,0.578,-0.081,0.063,-0.131,0.168,-0.007,0.01,0.087,-0.027,0.058,300,0
"2014-11-11 17:08:00",49,-1.454,-0.557,0.07,15.12,0.31,-0.168,0.039,-0.034,0.634,-0.118,0.082,0.102,-0.008,0.048,300,-1
"2014-11-11 17:09:00",50,-1.299,-0.345,-0.083,15.09,0.304,-0.169,0.02,-0.067,0.21,-0.013,0.047,0.073,-0.005,0.049,300,-1
"2014-11-11 17:10:00",51,-1,-0.046,-0.026,15.11,0.129,-0.019,0.025,-0.04,0.092,-0.029,0.02,0.047,-0.019,0.042,301,0
"2014-11-11 17:11:00",52,-1.197,-0.566,-0.007,15.32,0.158,0.018,-0.014,0.001,0.178,-0.003,-0.01,0.067,-0.002,0.011,300,0
"2014-11-11 17:12:00",53,-2.121,0.031,-0.281,15.4,0.36,-0.128,0.013,-0.007,0.361,0.096,0.011,0.111,0.004,0.01,299,-1
"2014-11-11 17:13:00",54,-0.903,-0.437,-0.043,15.22,0.105,-0.02,0.023,-0.006,0.101,0.007,-0.008,0.063,-0.005,0.023,300,-1
"2014-11-11 17:14:00",55,-0.678,-0.386,-0.133,15.3,0.092,-0.01,0.031,-0.011,0.127,0.046,-0.019,0.091,-0.02,0.015,300,-1
"2014-11-11 17:15:00",56,-1.113,-0.161,0.198,15.34,0.325,-0.021,0.071,-0.055,0.337,0.046,0.048,0.207,-0.008,0.042,301,0
"2014-11-11 17:16:00",57,-0.784,-0.266,-0.019,15.14,0.077,0.011,0.004,-0.001,0.194,0.006,0.001,0.094,-0.017,0.022,300,0
"2014-11-11 17:17:00",58,-1.554,0.414,-0.234,15.41,0.279,-0.02,0.03,-0.015,0.327,-0.053,0.013,0.094,-0.01,0.012,300,-1
"2014-11-11 17:18:00",59,-1.596,0.024,-0.194,15.28,0.171,0.019,0.046,-0.023,0.305,0.005,-0.01,0.134,-0.041,0.045,300,-1
"2014-11-11 17:19:00",60,-1.83,-0.583,-0.214,15.38,0.244,-0.026,0.009,-0.006,0.392,-0.037,0.005,0.217,-0.038,0.023,300,-1
"2014-11-11 17:20:00",61,-1.09,-0.123,-0.066,15.23,0.124,0.014,0.023,-0.017,0.072,0.01,0.013,0.054,-0.016,0.027,301,0
"2014-11-11 17:21:00",62,-1.429,0.099,-0.103,15.34,0.381,-0.007,0.046,-0.049,0.122,0.028,-0.015,0.079,-0.026,0.027,300,0
"2014-11-11 17:22:00",63,-0.955,-0.611,-0.021,15.23,0.308,-0.093,-0.025,0.01,0.424,0.075,-0.043,0.099,-0.024,0.031,300,-1
"2014-11-11 17:23:00",64,-0.591,-0.035,0.017,15.2,0.111,0.023,0.011,-0.016,0.09,-0.02,0.018,0.043,-0.018,0.036,300,-1
"2014-11-11 17:24:00",65,-1.011,0.134,0.035,15.12,0.119,0.037,-0.003,0.025,0.11,-0.005,0.025,0.027,-0.007,0.029,300,-1
"2014-11-11 17:25:00",66,-0.862,-0.055,0.12,15.21,0.256,0.128,0.048,-0.056,0.286,0.025,-0.067,0.039,-0.015,0.037,301,0
"2014-11-11 17:26:00",67,-2.082,-0.008,-0.136,15.5,0.456,-0.121,-0.017,0.004,0.693,-0.029,-0.052,0.245,-0.001,0.03,300,0
"2014-11-11 17:27:00",68,-0.864,0.417,0.039,15.38,0.11,0.003,-0.032,0.014,0.232,0.002,0.019,0.046,-0.009,0.016,300,0
"2014-11-11 17:28:00",69,-1.424,0.02,-0.007,15.27,0.209,0.016,-0.005,-0.005,0.635,-0.156,0.073,0.173,-0.042,0.035,300,-1
"2014-11-11 17:29:00",70,-0.346,-0.134,-0.076,15.31,0.28,0.023,-0.026,0.048,0.136,-0.017,0.029,0.046,-0.011,0.034,300,-1
"2014-11-11 17:30:00",71,-1.117,-0.321,0.04,15.43,0.338,0.038,-0.015,0.005,0.299,0.012,0.005,0.1,-0.012,0.011,300,-1
"2014-11-11 17:31:00",72,-0.938,-0.198,0.073,15.39,0.465,0.095,0.019,-0.011,0.38,-0.045,0.032,0.075,-0.016,0.022,301,0
"2014-11-11 17:32:00",73,-2.121,-0.443,-0.2,15.38,0.283,-0.117,0.078,-0.023,0.859,-0.148,0.035,0.202,-0.036,0.034,300,0
"2014-11-11 17:33:00",74,-1.577,0.012,-0.097,15.42,0.34,0.168,-0.031,-0.014,0.331,-0.008,0.036,0.072,-0.013,0.029,300,-1
"2014-11-11 17:34:00",75,-1.658,-0.795,-0.105,15.41,0.403,-0.049,0.06,-0.06,0.111,-0.026,0.027,0.131,-0.014,0.037,300,-1
"2014-11-11 17:35:00",76,-1.009,-0.254,0.049,15.29,0.335,-0.055,0.066,0.06,0.19,0.041,-0.07,0.131,-0.004,0.065,300,-1
"2014-11-11 17:36:00",77,-1.781,-0.756,-0.162,15.55,0.261,0.014,0.048,0.001,0.589,0.132,-0.028,0.261,-0.024,0.015,301,0
"2014-11-11 17:37:00",78,-1.674,-0.235,-0.144,15.43,0.808,0.146,-0.001,0.033,0.188,0.039,-0.006,0.151,-0.025,0.024,300,0
"2014-11-11 17:38:00",79,-0.709,-0.351,-0.134,15.39,0.101,-0.02,0.004,-0.001,0.182,-0.022,0.035,0.096,-0.034,0.042,300,-1
"2014-11-11 17:39:00",80,-1.315,0.083,-0.015,15.38,0.402,-0.161,0.102,-0.066,0.211,-0.018,0.027,0.102,-0.021,0.047,300,-1
"2014-11-11 17:40:00",81,-1.36,-0.683,-0.002,15.3,0.138,0.001,0.035,0.012,0.455,0.027,-0.014,0.184,-0.035,0.035,300,-1
"2014-11-11 17:41:00",82,-1.193,0.259,0.065,15.35,0.308,-0.019,0.014,-0.014,0.167,-0.001,-0.034,0.077,-0.022,0.062,301,0
"2014-11-11 17:42:00",83,-1.469,-0.145,-0.084,15.35,0.071,0.013,0,0.014,0.154,-0.02,0.066,0.047,-0.012,0.051,300,0
"2014-11-11 17:43:00",84,-0.746,-0.142,-0.063,15.36,0.102,-0.039,-0.003,0.002,0.125,0.008,-0.011,0.031,-0.004,0.02,300,-1
"2014-11-11 17:44:00",85,-0.897,-0.444,0.02,15.39,0.196,-0.02,-0.012,0.004,0.132,-0.002,0.014,0.065,-0.018,0.042,300,-1
